Actual Data Size, Inbound data(with metadata) size, Compressed size, Percentage saving
86, 131, 124, 5.34
163, 210, 161, 23.33
240, 287, 182, 36.59
317, 364, 216, 40.66
317, 364, 219, 39.84
394, 441, 248, 43.76
471, 518, 276, 46.72
548, 595, 297, 50.08
702, 749, 348, 53.54
1010, 1057, 440, 58.37
1549, 1596, 599, 62.47
2011, 2058, 736, 64.24
3012, 3059, 1033, 66.23
5014, 5061, 1583, 68.72
8017, 8064, 2438, 69.77
10019, 10066, 3020, 70.00
15024, 15071, 4431, 70.60
20029, 20078, 5872, 70.75
30039, 30088, 8678, 71.16
